ObsID,RA,Dec,peak_flux_ap,peak_flux_ap_err,int_flux_ap,int_flux_ap_err,int_flux_nvss,int_flux_nvss_err,maj_ap,min_ap,maj_nvss,min_nvss,delta_ra,delta_dec,radius,pb_level
200229034,326.4552344298162,39.205970213908785,0.013011710592149998,0.00029905471158,0.01516791179331,0.00049548018881,0.0146,0.0008999999761581422,53.867286911448005,43.628652068976,28.10000038146973,24.10000038146973,29.19587064160495,12.467600143401096,31.746435684877625,0.1676713079214096
200229034,326.42265965270246,38.904370715581386,0.0036060677477199998,0.00024178771824,0.00387729179114,0.00040902926471,0.0034,0.0004000000059604645,47.517657454836005,45.915565079555996,66.59999847412111,44.5,27.79974365528304,-5.6381577843665625,28.365716588365803,0.3012545108795166
200229034,326.0949999562308,38.82249215332829,0.01042370001143,0.00015625476633,0.01065342752082,0.00026871446202,0.0091,0.0005,46.11238043198399,45.055489805424,27.10000038146973,24.60000038146973,12.515356693930327,-10.623369069007301,16.416139161315478,0.6671914458274841
200229034,326.0721190462985,39.43754305378793,0.02850387597825,0.00029229138902,0.02992569426132,0.00049819742115,0.0247,0.0008000000119209289,46.421099110368004,45.372425267556,23.60000038146973,21.0,11.346528540318674,26.27654059338651,28.621631474029414,0.13450957834720612
200229034,326.0390699100457,38.940533079496845,0.053327832860690004,0.00012067974686,0.05481788870772,0.00020712625194,0.0473,0.0015,45.860772765419995,45.44730499568401,17.100000381469727,15.600000381469727,9.884397986125773,-3.5478179951822524,10.501823717290263,0.898276686668396
200229034,326.0376105945655,38.84857526863209,0.0026591114931199997,0.00013627350037,0.0027599547583499998,0.00023333602338,0.0026,0.0004000000059604645,47.558271364488,44.339182791659994,60.79999923706055,52.5,9.829042191698619,-9.065429809324268,13.371307493827718,0.7727412581443787
200229034,326.03307831591883,38.98365367931072,0.00846736422777,0.00011521142727,0.0082218593494,0.00020162834052000003,0.0067,0.0004000000059604645,45.58697535347999,43.147918164888,29.79999923706055,28.70000076293945,9.598934715462024,-0.9612299050777786,9.646942945871304,0.9253010153770448
200229034,325.98565516241416,39.20227201912387,0.00712483829103,0.0001448249569,0.007275357414810001,0.00024920020256,0.0086,0.0005,46.547023641048,44.23110240798,28.79999923706055,25.10000038146973,7.364325886874503,12.151426778206478,14.2088086287204,0.6726786494255066
200229034,325.9761265445026,38.80681602660623,0.019301321810240003,0.00014782492176,0.02304733283071,0.00024244546185,0.02,0.001,53.007519048984,45.807798897864,25.10000038146973,22.0,6.960084027929481,-11.576648618030749,13.507826612200375,0.7263941764831543
200229034,325.9570028867522,38.91225628324366,0.0055758718642399995,0.00011857160182999999,0.005956119666939999,0.00020118008756,0.0053,0.0004000000059604645,48.578109261012,44.61264424278,37.20000076293945,33.09999847412109,6.056922945521944,-5.2516076877324815,8.016587200054733,0.929885745048523
200229034,325.9080579296032,39.32840345073755,0.00265286557334,0.00023229599574,0.0030123155390200003,0.00038842143526,0.0025,0.0004000000059604645,53.116339365612,42.986867549292,63.29999923706055,54.599998474121094,3.7496946483169484,19.71457057852127,20.067993146229913,0.3804108500480652
200229034,325.88669630544047,39.02477712037828,0.007238470900430001,0.00010873918211,0.00720666564811,0.00018863743596,0.0035,0.0004000000059604645,45.417440544876,44.366666287103996,57.0,43.29999923706055,2.7701438855894507,1.4962311610267562,3.1483971079822965,0.992248833179474
200229034,325.72585951686517,38.7282270186241,0.01616841481725,0.00017757278877,0.01690848204158,0.00030306790198000004,0.0166,0.0006000000238418579,46.568945228436,45.7430323221,24.79999923706055,23.29999923706055,-4.746666797864132,-16.29503556990357,16.97229687383861,0.517930805683136
200229034,325.6768329727989,39.037772317309646,0.009186159406559999,0.00012183185653000001,0.008934275442620002,0.00021299999359,0.0076,0.0005,44.628007894308006,44.09495403753601,27.5,26.70000076293945,-7.01080410039199,2.2808309098514896,7.372486457190624,0.8615307807922363
200229034,325.5987804860196,38.85638471365069,0.00564440951146,0.00014636685939,0.00560027040455,0.00025419051176,0.0046,0.0005,45.35667615708,44.434551680207996,52.5,46.70000076293945,-10.675656509652967,-8.594821421549039,13.70548648236571,0.6685298681259155
200229034,325.55350061070936,39.244796537491546,0.02340924618152,0.00025410445199,0.02569226800696,0.00042736542037,0.0207,0.001,49.273860216132,44.868629329992,24.5,22.5,-12.721201857271,14.715618157100254,19.451925509077412,0.4179743528366089
200229034,325.52173168124983,39.03100305867387,0.14463419549464002,0.00016223992231,0.14925597218869,0.00027872741879,0.2091,0.007400000095367431,48.620444913036,42.951366832464,17.399999618530273,15.800000190734865,-14.240463238989172,1.892778135989944,14.365701578460081,0.6645625233650208
200229034,325.52731433123785,39.087938402195896,0.01223277301469,0.00017598450189999998,0.013921380828170002,0.00029245006634,0.0114,0.0005,49.884409861848,46.109957647788,29.70000076293945,24.0,-13.969012048563721,5.308014990245861,14.943499110977381,0.6309035420417786
200229034,325.4118152202803,39.10027205553344,0.14265609928224998,0.00021462489645,0.1436877563161,0.00037085882317000005,0.1442,0.004300000190734864,45.50820178654801,44.722991701512,18.299999237060547,16.600000381469727,-19.34447993243802,6.069159378910598,20.274200616639394,0.4669480621814728
200229034,325.39390676145234,38.84771179709543,0.17645802027969,0.00023093144538,0.17946368042639002,0.00039780802802999996,0.2079,0.007199999809265138,46.348375535532,44.581440318228005,21.899999618530273,18.299999237060547,-20.250465641361846,-9.080397402515443,22.193107533180665,0.412176638841629
