ObsID,peak_flux_ap,peak_flux_ap_err,int_flux_ap,int_flux_ap_err,int_flux_nvss,int_flux_nvss_err,maj_ap,min_ap,maj_nvss,min_nvss,delta_ra,delta_dec,radius,pb_level
200314001,0.29629874505666,0.0009704130436999999,0.29480079396696995,0.0016839326988,0.3334,0.01,45.42609227994001,44.462830071240006,16.700000762939453,16.399999618530273,35.2086203266054,-6.26561493537825,35.7617603477846,0.16493582725524902
200314001,0.01930204872201,0.00044831538302999994,0.01972998699893,0.00077191380007,0.0169,0.0006000000238418579,47.547310181976,43.75312282749601,21.0,18.399999618530273,29.943113091187072,-12.956307676726675,32.62593577332891,0.16685010492801666
200314001,0.00381236881284,0.00020847884305,0.00355182168506,0.0003698970767,0.0036,0.0004000000059604645,44.065780980372,42.739020310788,44.5,40.900001525878906,22.815192949269427,4.720477327996947,23.29840355823497,0.4153883159160614
200314001,0.03449322201539,0.00031654820698,0.03549886002739,0.00054312905759,0.0309,0.001,46.030001153076,44.89308225306,19.200000762939453,17.100000381469727,21.124600762280746,22.665823559367862,30.983573853370395,0.22346876561641693
200314001,0.00782751387081,0.00032222987647000003,0.00730379748426,0.00057130615938,0.0109,0.0005,43.366295764404,43.160139177047995,32.400001525878906,22.100000381469727,18.889263572865115,25.2957930128057,31.570159690035876,0.1990235596895218
200314001,0.04022263203325,0.00037941642975,0.040447771346169996,0.0006560349013099999,0.0391,0.0012000000476837158,45.651036480624,44.083723923288005,21.100000381469727,16.799999237060547,18.522660437102076,31.484186416889372,36.52852791492558,0.11981253325939177
200314001,0.07228813850122,0.00020727461678,0.08964970775123,0.00033511511086,0.127,0.005,51.136237066499994,49.099267614996,18.200000762939453,16.299999237060547,16.96877946607659,0.6926067258056617,16.98290837133287,0.5744760632514954
200314001,0.05242961444396,0.00019499079933,0.049364968634740006,0.00034484334625999995,0.127,0.005,44.990959349052,42.368140575576,18.200000762939453,16.299999237060547,16.885088026942665,0.6782792640068177,16.89870577109318,0.576281726360321
200314001,0.02648838416911,0.00027811022022000004,0.026638407217589997,0.00048090284452,0.0241,0.0011000000238418578,46.008400857732,44.528109012648,17.700000762939453,19.100000381469727,16.38001417471074,-15.502345469546736,22.55273288858379,0.3291052877902985
200314001,0.08122939010649001,0.00021492198497999999,0.08186909630044001,0.00037130322629,0.0725,0.002200000047683716,45.516099350268,44.965567629287996,18.799999237060547,17.600000381469727,13.095428879362887,-7.292380067652943,14.988956179890561,0.6029303669929504
200314001,0.03303086578726,0.00021577007767,0.033848641432139996,0.00037075704702999994,0.0294,0.001,46.237072133051996,45.03891114899999,21.899999618530273,17.5,13.555459711795367,-9.185043260334986,16.374219689794277,0.5485298037528992
200314001,0.057895201285349994,0.00014557712605,0.05701239382949,0.00025344623075,0.0701,0.0020999999046325685,44.761855190832,44.672349789252,20.399999618530273,15.100000381469727,4.150305932216757,-7.208680030576525,8.318057577801735,0.8344911932945251
200314001,0.02480911829947,0.00026249942631,0.03175812944465,0.00042197065544999997,0.0262,0.0012000000476837158,56.232212796035995,46.442773521468,25.79999923706055,16.899999618530273,2.7176053378538603,-19.37341522729253,19.563090710763817,0.43466532230377203
200314001,0.017814189372,0.00026374366768,0.02260742320946,0.00042344787365,0.0221,0.0012999999523162842,52.247676667068006,49.56674069124001,22.0,20.399999618530273,3.49286249546611,-20.03802385702947,20.340165936883952,0.4000843465328217
200314001,0.33573142191440003,0.00024463951261,0.33809259368823996,0.00042274066737000004,0.3209,0.009600000381469726,45.21779764488,45.116417450124,18.0,16.200000762939453,1.8074644030918257,-1.0594517182285634,2.095081241449591,0.957138180732727
200314001,0.0040821890527,0.00016747652205000002,0.00421356429738,0.00028710918787,0.0034,0.0004000000059604645,46.565384384808006,45.093557262348,45.79999923706055,42.70000076293945,2.1609775310931374,-12.025315759499776,12.217938613311095,0.726546585559845
200314001,0.00837650386909,0.00015261520527000001,0.009712832085809999,0.00025243409708,0.0089,0.0005,51.26348020928401,45.584441497656,31.20000076293945,24.60000038146973,1.6529446280238864,12.64518177969448,12.752757970821595,0.6762104034423828
200314001,0.09147955836514,0.00023652703889,0.09173277949894,0.00040935347310000003,0.0883,0.002700000047683716,45.562952821968004,44.269443817559996,18.600000381469727,17.200000762939453,1.4030429829543614,17.74623476700371,17.801611177974934,0.4938700795173645
200314001,0.01908423598102,0.00028259472214999995,0.021437113186729997,0.00047229789382999997,0.0176,0.000699999988079071,51.03280613934,44.999980335720004,26.70000076293945,22.899999618530273,-4.132732522673641,-24.75590073473966,25.09848210668218,0.2771974503993988
200314001,0.00331195631168,0.00028081661483,0.0032029769738899996,0.00049466696572,0.0034,0.0004000000059604645,48.40198710080401,40.127809176576,49.20000076293945,42.5,-18.530974078084245,21.954431265578943,28.72959073873348,0.16571590304374695
200314001,0.00490671190413,0.00024272081834,0.00676978631432,0.00038639131502999995,0.0075,0.0008999999761581422,64.228072398336,43.2491497137,45.099998474121094,35.5,-19.434162766479567,15.298954373891439,24.733422609763128,0.3085347414016724
200314001,0.0170662313917,0.00016938266971,0.01684371309292,0.00029468238924000004,0.0166,0.0006000000238418579,44.876458753416,44.46109039788,23.399999618530273,18.600000381469727,-21.14458665966004,4.465415349218999,21.61095157084573,0.5338851809501648
200314001,0.0334406059317,0.00028419626748,0.03425883094368,0.00048833703138,0.0299,0.001,46.21379357448,45.255097218888,21.399999618530273,18.399999618530273,-21.703394196478392,-20.90125955377623,30.131282191461334,0.2559754848480225
