peak_flux_ap,int_flux_ap,int_flux_nvss,delta_ra,delta_dec,radius,pb_level
0.00700218798546,0.0069252471412,0.0056,18.989792782298807,-20.857630341705423,28.207242837387813,0.17829465866088867
0.03244335421921,0.034807991455359996,0.0282,15.111689904088221,-17.032251625851547,22.769692546528603,0.3105224668979645
0.01986251968345,0.020470949370160002,0.0161,13.956164414145212,3.3263781925017675,14.347099227639706,0.5847706198692322
0.01901494300797,0.021466036965139997,0.0159,13.867451315163047,6.732842913795962,15.415483573376633,0.5393687486648561
0.00800896301619,0.00827973786814,0.006999999999999999,11.912835669805254,-9.077891933048182,14.977431214404216,0.5672483444213867
0.02478336681146,0.02500350229022,0.0219,10.029492057237926,0.8331986660178327,10.064041383739053,0.7309788465499878
0.00517136228159,0.005543424219329999,0.0034,10.025254564415384,-2.8526260755589594,10.423203995902341,0.7179775834083557
0.01681196614967,0.01750408639397,0.013800000000000002,6.169588196892724,-20.713043000334988,21.61234619943192,0.3226422071456909
0.01123996962303,0.01158146143255,0.0077,5.616673196021641,-25.902189397310824,26.50414753164732,0.18839119374752045
0.02016047343288,0.01979460201588,0.013000000000000001,4.548866526994003,-27.50712383543234,27.88070312559606,0.15725529193878174
0.01325752312383,0.01494032341789,0.0122,4.2116009496718325,18.897487928229815,19.361106732155825,0.41600921750068665
0.043282586019280006,0.04406308832848,0.0332,0.17923792780753753,28.62257207307508,28.623133259145146,0.13076277077198029
0.0085488857703,0.00919157767141,0.008,-0.2382502967293011,3.716894116370568,3.724522124257677,0.965678870677948
0.15010309474588002,0.15838211710429,0.1122,-1.650184058179484,-30.339860342945105,30.384702768898787,0.1091814711689949
0.02836221856257,0.02835160785194,0.0274,-5.8403149979719675,7.198497643229689,9.269714005435043,0.9305282831192015
0.00621036254169,0.0064274522407700005,0.004,-8.623070239426406,-25.369169104869545,26.794602658494934,0.17771375179290771
