ObsID,peak_flux_ap,int_flux_ap,int_flux_nvss,delta_ra,delta_dec,radius,pb_level
200326001,0.01742801367351,0.017303547465,0.014,31.326250874926934,-19.833644421740395,37.076900581402626,0.1026262417435646
200326001,0.02941217345402,0.03007553444759,0.0149,21.183804703873047,-3.2022694922499273,21.424471564976475,0.4292590320110321
200326001,0.02224576653221,0.02249461427136,0.0213,15.894236741192877,2.597634981463927,16.105105432803438,0.5873650908470154
200326001,0.00803989389863,0.00916836396327,0.0072,12.561684556197802,2.8032460984845216,12.870667139031845,0.6915286779403687
200326001,0.10131476389594,0.1063406976527,0.0973,11.221380845290406,-4.2985419514992,12.016521350178856,0.7035542130470276
200326001,0.0074972748998,0.00870887506316,0.0047,10.60619435331057,-29.810323948631336,31.640858916792588,0.11637327820062637
200326001,0.00391634327917,0.00396270948072,0.0035,10.432068883842463,21.993830052530406,24.342455438032346,0.24969948828220367
200326001,0.02631132436837,0.02890670048804,0.0292,7.636013719923807,-31.840124651172655,32.742946966063116,0.10006095468997955
200326001,0.00952821047387,0.01066337227343,0.0086,6.1299018483154395,10.770070724930374,12.392336226676598,0.7212592363357544
200326001,0.00576849639039,0.00567506696327,0.0048,1.1300307823152782,-14.348225892146178,14.392656058075916,0.5892312526702881
200326001,0.00925969559338,0.00909449877095,0.0081,-0.1390084687891681,2.124053453043905,2.128597290077063,0.9863436818122864
200326001,0.01472247633183,0.01463220918434,0.0123,-0.27423702988242465,-18.422907141142883,18.424948107383887,0.4424324035644531
200326001,0.00758430725773,0.00790810645419,0.005900000000000001,-4.675149698598346,-15.80092397494548,16.47804810191241,0.5285499095916748
200326001,0.00445448947658,0.00510996089405,0.0040999999999999995,-6.902999487083634,0.2892923223178816,6.909058680741865,0.9715731143951416
200326001,0.01927782206766,0.01944587804125,0.0181,-9.463779230097842,19.39215130394844,21.57817646451573,0.4938450753688812
200326001,0.19530743872426,0.19825998958159,0.16169999999999998,-10.328111985622147,-21.266923277389544,23.64213531193,0.29117414355278015
200326001,0.03400858420243,0.0356803055142,0.0293,-14.165248648942995,2.2059154402994143,14.33597937625948,0.8213114738464355
200326001,0.0056162966837,0.00790017220228,0.0040999999999999995,-14.426350539121563,-4.211234359588201,15.028439060858963,0.7372264862060547
200326001,0.00950649149554,0.00962609342242,0.008,-16.459066430670322,-14.65405460822037,22.037253536235966,0.39034953713417053
200326001,0.00752404194808,0.00768966115858,0.0074,-17.8774527415359,15.350145836968483,23.563280112772816,0.49034351110458374
200326001,0.05260324811204,0.05241026395673,0.0455,-21.15089531163081,-4.71743274959312,21.670585211939475,0.502708911895752
200326001,0.00832028065014,0.00959608622879,0.008,-25.299286440805574,13.481500817617825,28.66708003197645,0.3251427710056305
200326001,0.03526318421992,0.03653819930327,0.0354,-26.889497565193857,8.116262439573926,28.087674376508147,0.3442606031894684
200326001,0.02026821405245,0.02399675373906,0.027399999999999997,-27.562999154156238,22.591954869678506,35.63852424406928,0.11985079944133759
200326001,0.00555420768355,0.00590177444222,0.0079,-28.357376261541614,-7.337533245437518,29.291277907031212,0.2329542189836502
191027044,0.00631852695725,0.00613032503223,0.0056,18.99394688251413,-20.85930009180418,28.211274181650243,0.2012896090745926
191027044,0.02848506920853,0.03135955850865,0.0282,15.11491946194609,-17.02405213948331,22.76570389971304,0.3325784206390381
191027044,0.01761983661807,0.01849558572312,0.0161,13.952445366636976,3.3282049487883736,14.343905293514144,0.6432226300239563
191027044,0.01665220018269,0.01868390283017,0.0159,13.864863522830495,6.730765308864091,15.412248262791909,0.6029632091522217
191027044,0.00699281968516,0.00743211822782,0.007,11.901544461904294,-9.073389379811575,14.965721716850462,0.5937589406967163
191027044,0.0223442267477,0.02311660247102,0.0219,10.028664544899698,0.8368278852825211,10.063517848009806,0.7761726379394531
191027044,0.0048806770336,0.00515238964593,0.0034,10.019220435845376,-2.862715542117246,10.420167715230376,0.7556520700454712
191027044,0.01528824522616,0.01587860669678,0.013800000000000002,6.157969403756318,-20.71650347877173,21.61234935250207,0.3376528024673462
191027044,0.00971480906324,0.01015595322378,0.0077,5.608707514000232,-25.89952332600946,26.499854967924254,0.20609243214130402
191027044,0.01657612533534,0.01817724080501,0.013,4.548031144099095,-27.498134219490115,27.871697682252538,0.17584750056266785
191027044,0.01271056101197,0.01411750077581,0.012199999999999999,4.206392693122041,18.913353384058283,19.375461212531583,0.4574187695980072
191027044,0.03367854269031,0.03648800563216,0.0332,0.18663266509712217,28.62313583270635,28.623744266680877,0.16774778068065643
191027044,0.00810290815098,0.00916308747585,0.008,-0.24450434109111438,3.722297048108852,3.730318708074431,0.9788607954978943
191027044,0.12128844055106,0.13114034603674,0.11220000000000001,-1.6517416355586778,-30.315911499888028,30.360873995604823,0.12989111244678497
191027044,0.02712492182788,0.02721141419956,0.027399999999999997,-5.841449263373792,7.201001350447227,9.272372945427733,0.9366737008094788
191027044,0.00665395989274,0.0068256771797,0.0057,-8.93058862305803,-6.847996242561749,11.253904220344529,0.8016740679740906
191027044,0.02674418916086,0.02685123894764,0.0221,-9.276231398141137,15.575809692774445,18.12880933006959,0.6460613012313843
191027044,0.04615619019327,0.04739557450266,0.0399,-9.840333525821276,27.672112882392227,29.369642556115146,0.2031887024641037
191027044,0.01278733132112,0.01310755273917,0.0127,-10.731742555468976,-16.238012090962595,19.463876243489974,0.447852224111557
191027044,0.00841424155155,0.00796712988737,0.0086,-18.160170884343714,-15.34782061105011,23.77698914791701,0.33264681696891785
